ITERATION 0 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 1e-05
LOSS 7.812801361083984 	 ACC 0.25 
LOSS 10.862969398498535 	 ACC 0.25 
LOSS 5.3656487464904785 	 ACC 0.65 
LOSS 8.166990280151367 	 ACC 0.0 
LOSS 10.802641868591309 	 ACC 0.25 
LOSS 3.929363489151001 	 ACC 0.5 
LOSS 5.12181282043457 	 ACC 0.5 
LOSS 6.494080543518066 	 ACC 0.0 
LOSS 8.153470993041992 	 ACC 0.0 
LOSS 5.9464874267578125 	 ACC 0.4 
LOSS 3.7458913326263428 	 ACC 0.14999999999999997 
LOSS 7.586059093475342 	 ACC 0.14999999999999997 
LOSS 9.602843284606934 	 ACC 1.0 
LOSS 4.210794925689697 	 ACC 0.25 
LOSS 9.444244384765625 	 ACC 0.25 
LOSS 7.1933369636535645 	 ACC 0.0 
LOSS 10.395694732666016 	 ACC 0.25 
LOSS 9.008584022521973 	 ACC 0.25 
LOSS 10.356573104858398 	 ACC 0.5 
LOSS 6.550724029541016 	 ACC 0.25 
LOSS 12.689770698547363 	 ACC 0.25 
LOSS 9.12039566040039 	 ACC 0.4 
LOSS 7.568682670593262 	 ACC 0.0 
LOSS 6.346819877624512 	 ACC 0.25 
LOSS 8.434394836425781 	 ACC 0.25 
LOSS 7.353065013885498 	 ACC 0.0 
LOSS 10.323334693908691 	 ACC 0.25 
LOSS 13.199751853942871 	 ACC 0.0 
LOSS 5.256737232208252 	 ACC 0.6499999999999999 
LOSS 6.458484649658203 	 ACC 0.14999999999999997 
LOSS 8.742975234985352 	 ACC 0.4 
LOSS 7.262922763824463 	 ACC 0.0 
LOSS 6.448097229003906 	 ACC 0.0 
LOSS 7.521233081817627 	 ACC 0.8999999999999999 
LOSS 4.113154411315918 	 ACC 0.5 
LOSS 10.012686729431152 	 ACC 0.0 
LOSS 8.770483016967773 	 ACC 0.0 
LOSS 7.747452259063721 	 ACC 0.25 
LOSS 9.883858680725098 	 ACC 0.0 
LOSS 5.255992889404297 	 ACC 0.25 
LOSS 13.93443775177002 	 ACC 0.25 
LOSS 8.84981918334961 	 ACC 0.0 
LOSS 9.999223709106445 	 ACC 0.14999999999999997 
LOSS 5.755702495574951 	 ACC 0.39999999999999997 
LOSS 6.844712257385254 	 ACC 0.4 
LOSS 8.973498344421387 	 ACC 0.25 
LOSS 5.957235813140869 	 ACC 0.5 
LOSS 9.829256057739258 	 ACC 0.5 
LOSS 7.522434711456299 	 ACC 0.25 
LOSS 11.41612720489502 	 ACC 0.15 
LOSS 8.38867473602295 	 ACC 0.4 
LOSS 8.640304565429688 	 ACC 0.15 
LOSS 8.28553581237793 	 ACC 0.0 
LOSS 8.581940650939941 	 ACC 0.65 
LOSS 10.103654861450195 	 ACC 0.5 
LOSS 10.444427490234375 	 ACC 0.4 
LOSS 10.61769962310791 	 ACC 0.39999999999999997 
LOSS 8.218643188476562 	 ACC 0.4 
LOSS 9.05325698852539 	 ACC 0.0 
LOSS 4.550085544586182 	 ACC 0.25 
LOSS 6.215916156768799 	 ACC 0.0 
LOSS 7.610616683959961 	 ACC 0.0 
LOSS 7.798969745635986 	 ACC 0.25 
LOSS 6.593134880065918 	 ACC 0.5 
LOSS 6.704907417297363 	 ACC 0.25 
LOSS 6.4135613441467285 	 ACC 0.25 
LOSS 4.154957294464111 	 ACC 0.39999999999999997 
LOSS 9.216875076293945 	 ACC 0.15 
LOSS 7.754669189453125 	 ACC 0.0 
LOSS 8.07603645324707 	 ACC 0.25 
LOSS 4.374457359313965 	 ACC 0.5 
LOSS 7.920654296875 	 ACC 0.25 
LOSS 5.7294020652771 	 ACC 0.25 
LOSS 8.58011245727539 	 ACC 0.15 
LOSS 5.153052806854248 	 ACC 0.0 
LOSS 7.255599498748779 	 ACC 0.4 
LOSS 9.221113204956055 	 ACC 0.0 
LOSS 5.914146423339844 	 ACC 0.14999999999999997 
LOSS 8.747175216674805 	 ACC 0.5 
LOSS 9.71353530883789 	 ACC 0.25 
LOSS 10.362126350402832 	 ACC 0.14999999999999997 
LOSS 4.937554836273193 	 ACC 0.25 
LOSS 7.847789287567139 	 ACC 0.75 
LOSS 7.594683647155762 	 ACC 0.0 
LOSS 9.812956809997559 	 ACC 0.5 
LOSS 6.159587383270264 	 ACC 0.14999999999999997 
LOSS 4.5510735511779785 	 ACC 0.14999999999999997 
