ITERATION 1 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 0.0001
LOSS 6.738736152648926 	 ACC 0.39999999999999997 
LOSS 7.962517738342285 	 ACC 0.0 
LOSS 4.9471755027771 	 ACC 0.39999999999999997 
LOSS 8.134288787841797 	 ACC 0.4 
LOSS 4.275142192840576 	 ACC 0.0 
LOSS 9.706652641296387 	 ACC 0.0 
LOSS 5.724031448364258 	 ACC 0.15 
LOSS 6.585125923156738 	 ACC 0.25 
LOSS 7.193252086639404 	 ACC 0.0 
LOSS 4.4962477684021 	 ACC 0.25 
LOSS 6.618658542633057 	 ACC 0.25 
LOSS 6.783255100250244 	 ACC 0.15 
LOSS 8.169256210327148 	 ACC 0.5 
LOSS 7.791460037231445 	 ACC 0.0 
LOSS 6.85385799407959 	 ACC 0.3 
LOSS 5.934286117553711 	 ACC 0.25 
LOSS 4.630979061126709 	 ACC 0.39999999999999997 
LOSS 3.657032012939453 	 ACC 0.0 
LOSS 3.9029407501220703 	 ACC 0.0 
LOSS 5.294622898101807 	 ACC 0.25 
LOSS 5.16526985168457 	 ACC 0.0 
LOSS 4.577597618103027 	 ACC 0.25 
LOSS 4.231531620025635 	 ACC 0.5 
LOSS 5.812816143035889 	 ACC 0.25 
LOSS 8.6412992477417 	 ACC 0.4 
LOSS 6.981690406799316 	 ACC 0.4 
LOSS 9.706056594848633 	 ACC 0.0 
LOSS 7.025507926940918 	 ACC 0.5 
LOSS 6.599045753479004 	 ACC 0.0 
LOSS 6.817996978759766 	 ACC 0.25 
LOSS 7.518476963043213 	 ACC 0.25 
LOSS 7.966327667236328 	 ACC 0.25 
LOSS 9.65247917175293 	 ACC 0.75 
LOSS 5.825770854949951 	 ACC 0.25 
LOSS 6.305051326751709 	 ACC 0.25 
LOSS 9.269848823547363 	 ACC 0.0 
